,username,beername,user_rating,user_review
0,MonDak_Joe1953,Kentucky Brunch Brand Stout,4.71,"Tap pour at the taproom. Served chilled in a small snifter glass.
Black colored body. No lasting head. No lacing, but leaves a sheen.
Aroma of dark roasted malt, bourbon barrel, maple syrup, caramel, toffee, and a bit of dark fruit/cherry.
Taste is sweet from the maple syrup and bourbon barrel, also vanilla. Flavors of fudge chocolate, caramel, toffee, and dark fruit - cherry and figs. Long lasting aftertaste with chocolate, bourbon, and toffee.
Thicker mouthfeel with syrup. Higher ABV% only detected in the vapors. Quiet carbonation.
Rich and decadent dessert beer. Treat of the day, and from the source."
1,Rristow,Kentucky Brunch Brand Stout,5,"The perfect barrel aged stout. Not overly sweet, nice barrel notes with coffee and maple. Just delish!"
2,BEERchitect,Kentucky Brunch Brand Stout,4.8,"The flirtation with maple comes to a crescendo in Toppling Goliath's imperial maple, coffee and bourbon barrel aged stout.

Kentucky Brunch Brand Stout shows that something special is up when it pours with an inky impression of black brandy equipped with sticky legging swirling around an ominously still beer. As a sultry, savory and oh-so seductive scent pulls from the onyx-black beer, the mouth waters with the scent of espresso, dark chocolate, maple, sweet bourbon and port wine. Expectedly sweet, the toasty malts bring out the flavor of maple-dipped chocolate, chocolate covered espresso bean, bourbon ball candies and whisky laced molasses.

Bold, savory, sweet and mouth coating on the middle palate, the boldness of the stout remains in check while the more roasty edges pull from the sweetness with espresso roast, toasty, smoky and baker's chocolate that all trend spicy, lightly bitter and balancing with a chest warming offset of bourbon and all of its caramel, vanilla, toasted oak and peppery whisky flavors in closure.

Obviously full, rich and lavishly malted from start to finish, the stout finishes on a drying track in an off-pastry mouthfeel of spice, light bitterness and port-like warmth. It's a masterful stout that belongs on such lofty pedestals."
3,cdinardo21,Kentucky Brunch Brand Stout,4.98,"On tap at TG for part of KBBS release day - rating 2023 version; perfect black color. This is an amazing blend richness, dessert and coffee; the barrel is perfectly complimentary and not overpowering. The sweetness is palatable rather than making your teeth hurt. The mouthfeel is thick and silky. Overall, one of the best beers I've had."
4,GreenBayBA,Kentucky Brunch Brand Stout,4.7,"Perfect black color. I didn't see much foam, other than a brown ring. The smell is a perfect blend of maple, coffee, chocolate, and bourbon. The taste is strong with maple. Almost too strong. Chocolate follows, with coffee, bourbon, and vanilla. It is very sweet. The mouthfeel is thick, smooth, lucious, and full. Very nice. Overall, this is a wonderful beer, but there is too much maple flavor for it to be one of my favorite beers."
5,poidog,Kentucky Brunch Brand Stout,5,"Amazing stout, expensive but worth the price!"
6,Filabee,Kentucky Brunch Brand Stout,5,This beer meet and exceeded all the unreal hype. It is simply amazing!
7,edthehead,Vanilla Bean Assassin,4.74,"Black thick appearance with no head, barely even a collar, no lacing. Whiskey barrel mellowed nicely by vanilla a la marshmallows, milk chocolate, and latte. Moderate to thick body, light carbonation. Delicious!"
8,q33jeff,Vanilla Bean Assassin,4.81,"**
11/24/23

Bottle to snifter. Share with DC.

Aroma is super Wow Vanilla!



**"
9,Rug,Vanilla Bean Assassin,4.55,"2022 vintage

How does one follow up review #1000 with the #1 highest rated beer on BA? Review #200 being the #2 highest rated beer of course! I’m very excited for another massive milestone review beer, and I couldn’t think of a better way to celebrate it than with this legendary beer. Let’s pop this bad boy open and find out what it’s all about

Pours completely pitch black with a finger of frothy light tan head that quickly fades to a thin ring and leaves minimal lacing

There’s just a massive punch of vanilla in the nose, and while there’s also a nice fruitiness it’s not all that complex. I’m picking up on aromas of vanilla bean, red grape, milk chocolate, toasted oak, jammy blackberry, molasses, sweet bourbon, burnt caramel, and brown sugar

It’s has more of an evolution to it in taste, and it is so damn tasty. On the front end of the sip I’m tasting chocolate fudge, sweet bourbon, vanilla bean, jammy blackberry, raisin, toasted oak, fruity coffee, burnt caramel, molasses, and light walnut. The swallow brings notes of vanilla extract, red grape, brown sugar, charred oak, sweet bourbon, molasses, jammy blackberry, burnt caramel, chocolate fudge, light fig, and marshmallow

A medium full body pairs with gentle tingling carbonation, resulting in a slick beer. Finishes a tad sticky but it doesn’t hurt the drinkability

This beer is absolutely worthy of this milestone review. The aroma had me a bit concerned it would be simplistic despite it being good, but it’s so much more than just vanilla. Great stuff!"
